EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
293,Medium,Low,Best
294,High,Medium,Bad
295,High,Very High,Good
296,Very High,Very High,Good
297,Very High,Low,Bad
298,Very High,Medium,Better
299,Very High,Very High,Better
300,Very High,Low,Best
301,NA,Very High,Better
302,Very High,High,Bad
303,Medium,Low,Better
304,High,Low,Best
305,Very High,Very High,Good
306,High,Very High,Good
307,Medium,High,Better
308,Low,High,Better
309,Medium,High,Better
310,Very High,Very High,Better
311,Very High,Low,Better
312,Low,Low,Better
313,Very High,Very High,Better
314,Low,NA,Better
315,Medium,High,Good
316,Very High,Low,Good
317,Medium,Very High,Better
318,Very High,Low,Better
319,High,Very High,Better
320,Very High,Low,Good
321,Low,Low,Better
322,High,Low,Better
323,Low,Very High,Good
324,Very High,High,Better
325,High,Medium,Better
326,High,Low,Better
327,Medium,Very High,Good
328,High,Low,Better
329,High,Medium,Better
330,Very High,High,Better
331,High,High,Better
332,Medium,Low,Better
333,High,High,Best
334,Low,Low,Better
335,High,Very High,Good
336,High,Medium,Better
337,High,High,Better
338,Very High,Medium,Better
339,Very High,High,Better
340,Very High,Very High,Better
341,High,High,Good
342,High,Medium,Better
343,High,High,Better
344,Low,High,Better
345,High,Very High,Good
346,Medium,High,Better
347,Medium,Medium,Good
348,Low,Low,Good
349,High,Very High,Better
350,High,Very High,Best
351,High,Very High,Good
352,Medium,Low,Better
353,High,Very High,Better
354,High,High,Best
355,Medium,Medium,Better
356,High,Very High,Bad
357,High,High,Better
358,Very High,Very High,Good
359,Low,High,Good
360,Very High,Medium,Good
361,Low,Low,Good
362,Low,Low,Better
363,High,Low,Good
364,Medium,Very High,Good
365,Medium,Very High,Good
366,Medium,Very High,Good
367,Low,Very High,Better
368,Very High,Low,Better
369,High,High,Good
370,High,Very High,Better
371,Very High,High,Better
372,Medium,Very High,Better
373,Very High,Very High,Bad
374,Low,Very High,Good
375,Medium,Very High,Better
376,Low,Low,Better
377,High,Low,Better
378,Very High,High,Better
379,Very High,Medium,Good
380,Very High,Very High,Better
381,High,Low,Best
382,High,Low,Better
383,Low,Very High,Good
384,Medium,Medium,Better
385,Medium,Medium,Better
386,High,Very High,Good
387,Very High,Very High,Better
388,Medium,High,Better
389,Low,Very High,Better
390,Very High,Medium,Better
391,High,Very High,Better
392,Very High,Very High,Better
393,Very High,Very High,Good
394,High,Very High,Better
395,Low,Medium,Better
396,Low,Low,Better
397,Very High,Very High,Better
398,Very High,Medium,Best
399,Low,Very High,Bad
400,Low,Very High,Better
401,Medium,Low,Better
402,Low,Very High,Better
403,Very High,Very High,Good
404,Low,Medium,Best
405,High,High,Good
406,NA,Very High,Good
407,High,Very High,Good
408,Very High,Very High,Good
409,Medium,High,Best
410,Medium,Very High,Good
411,High,High,Better
412,Very High,Low,Bad
413,Medium,High,Better
414,Medium,Medium,Better
415,High,High,Better
416,High,Low,Better
417,High,Medium,Better
418,Medium,High,Best
419,Very High,Very High,Bad
420,Low,Medium,Good
421,Very High,High,Good
422,Very High,High,Good
423,Medium,Very High,Better
424,Very High,Low,Better
425,High,Medium,Better
426,High,Medium,Better
427,Low,Medium,Good
428,High,Low,Better
429,Very High,Low,Better
430,High,High,Better
431,Very High,Medium,Best
432,Low,Low,Better
433,Very High,Very High,Bad
434,Very High,Medium,Better
435,High,Low,Best
436,High,Very High,Better
437,Medium,Very High,Better
438,Low,High,Bad
439,High,Medium,Good
440,High,Very High,Better
441,High,High,Better
442,Very High,Very High,Good
443,Very High,High,Better
444,High,High,Best
445,High,High,Best
446,High,Very High,Better
447,Very High,Very High,Better
448,Low,High,Better
449,Medium,Medium,Good
450,High,High,Best
451,Low,Very High,Better
452,High,Low,Better
453,Very High,High,Better
454,Very High,Low,Better
455,Medium,Very High,Better
456,Very High,Very High,Better
457,Very High,Very High,Good
458,High,Medium,Better
459,Low,High,Best
460,High,Medium,Better
461,Very High,Low,Better
462,Very High,Very High,Better
463,Low,High,Better
464,Very High,High,Better
465,High,High,Good
466,Very High,High,Better
467,Very High,High,Better
468,High,Medium,Bad
469,High,Low,Better
470,Medium,Very High,Better
471,High,High,Better
472,High,High,Good
473,Medium,Low,Good
474,Very High,Low,Better
475,Medium,Medium,Better
476,Very High,Very High,Better
477,Medium,Low,Good
478,Low,High,Better
479,High,High,Better
480,Very High,High,Better
481,Very High,Very High,Better
482,Low,Very High,Better
483,Medium,Very High,Good
484,Very High,High,NA
485,Low,Very High,Better
486,High,Very High,Better
487,Low,Medium,Bad
488,High,Medium,Better
489,Medium,High,Better
490,NA,Very High,Better
491,Medium,Low,Better
492,Low,Very High,Better
493,Very High,Very High,Better
494,Very High,High,Better
495,High,Low,Better
496,Very High,Low,Better
497,Medium,Very High,Good
498,Very High,Very High,Best
499,Very High,High,Better
500,Medium,Very High,Good
501,Medium,Very High,Bad
502,Medium,Medium,Better
503,High,Medium,Better
504,Low,High,Good
505,Low,Low,Better
506,High,High,Better
507,Very High,Medium,Better
508,High,High,Better
509,Medium,High,Good
510,Very High,Medium,Good
511,High,Low,Good
512,Low,High,Better
513,Very High,Very High,Better
514,High,High,Better
515,Low,High,Better
516,Very High,Very High,Good
517,High,Low,Best
518,High,Very High,Better
519,Very High,Very High,Better
520,High,Low,Good
521,Very High,Low,Better
522,Low,High,Best
523,Medium,Low,Good
524,Low,Low,Better
525,High,Low,Good
526,Medium,High,Better
527,High,High,Good
528,Low,Very High,Better
529,Low,High,Better
530,Very High,Medium,Better
531,High,High,Best
532,Medium,Low,Better
533,Very High,Very High,Better
534,Very High,Low,Better
535,Low,High,Better
536,Low,High,Good
537,Low,Very High,Good
538,Very High,Very High,Better
539,Very High,Very High,Best
540,Low,High,Good
541,Low,Medium,Better
542,Very High,Low,Better
543,Low,Medium,Better
544,Very High,High,Better
545,Very High,Medium,Better
546,High,Very High,Better
547,Low,Very High,Good
548,Medium,High,Better
549,Medium,Medium,Better
550,High,High,Better
551,High,Very High,Better
552,Very High,Medium,Good
553,Low,High,Better
554,Very High,Medium,Better
555,High,Low,Better
556,Low,Very High,Better
557,High,High,Best
558,Very High,Medium,Best
559,High,Medium,Good
560,Low,Very High,Better
561,High,Very High,Better
562,Low,Medium,Bad
563,Very High,Very High,Better
564,Very High,Medium,Better
565,Very High,High,Good
566,Very High,Medium,Good
567,Medium,Very High,Better
568,Medium,Very High,Good
569,High,High,Best
570,High,High,Better
571,High,High,Better
572,Low,Low,Better
573,Medium,Very High,Better
574,High,High,Good
575,High,Very High,Better
576,Very High,High,Better
577,Medium,High,Good
578,High,High,Bad
579,Very High,Low,Bad
580,Medium,High,Good
581,High,Low,Good
582,Medium,Low,Best
583,Very High,High,Better
584,Very High,Medium,Better
585,High,Very High,Good
586,Low,Very High,Better
587,High,NA,Better
588,High,Very High,Bad
589,High,Medium,Best
590,Very High,Low,Better
591,Very High,Very High,Best
592,Low,High,Good
593,High,Low,Better
594,Very High,Low,Better
595,Medium,Very High,Better
596,High,Low,Better
597,Low,High,Good
598,Very High,Very High,Good
599,Low,High,Good
600,High,High,Better
601,Very High,High,Better
602,Medium,Very High,Good
603,High,Very High,Better
604,High,Low,Better
605,Very High,High,Better
606,Medium,High,Better
607,Low,Low,Bad
608,High,Low,Better
609,Medium,Medium,Better
610,Very High,Low,NA
611,Very High,Low,Better
612,Very High,Medium,Better
613,High,Low,Better
614,Very High,Medium,Bad
615,Medium,High,Good
616,High,High,Better
617,High,High,Good
618,Very High,Very High,Better
619,High,Very High,Better
620,Very High,Very High,Good
621,Very High,Low,Best
622,Medium,Very High,Better
623,High,Medium,Better
624,Very High,High,Better
625,High,Low,Better
626,Low,Very High,Better
627,Medium,Medium,Best
628,High,Very High,Better
629,Very High,Medium,Better
630,Low,Low,Better
631,High,Very High,Good
632,Low,Low,Good
633,Very High,High,Bad
634,Low,Very High,Better
635,Low,Medium,Best
636,Low,Very High,Better
637,Very High,Very High,Better
638,High,Low,Good
639,High,Low,Better
640,High,Very High,Better
641,High,Very High,Better
642,Low,High,Best
643,High,Medium,Good
644,Very High,Medium,Good
645,Low,High,Better
646,High,Very High,Better
647,Very High,Very High,Best
648,Very High,Very High,Good
649,High,High,Good
650,Medium,Medium,Better
651,Very High,High,Better
652,Medium,Very High,Better
653,Very High,High,Better
654,High,Very High,Better
655,High,Very High,Good
656,Low,Medium,Better
657,Very High,Medium,Better
658,Low,High,Bad
659,Very High,Medium,Better
660,High,Low,Better
661,Very High,Medium,Good
662,Very High,Very High,Good
663,High,Medium,Best
664,Very High,High,Good
665,High,Low,Good
666,High,Medium,Best
667,High,High,Better
668,Medium,Medium,Better
669,Very High,Very High,Best
670,High,Medium,Better
671,Low,Very High,Better
672,Very High,Very High,Better
673,Medium,High,Good
674,High,High,Better
675,Medium,High,Better
676,Very High,Low,Good
677,Very High,Medium,Good
678,High,Very High,Best
679,NA,Medium,Better
680,High,Medium,Better
681,Low,High,Better
682,Very High,High,Better
683,High,Low,Better
684,Low,Very High,Better
685,Very High,High,Better
686,Very High,Low,Best
687,High,Very High,Better
688,Very High,Low,Better
689,Very High,Medium,Better
690,Medium,Medium,Good
691,Medium,Low,Better
692,Low,High,Better
693,Very High,High,Good
694,High,Medium,Better
695,Very High,Medium,Best
696,Low,Low,Best
697,High,High,Good
698,Very High,High,Better
699,Very High,Medium,Better
700,High,High,Better
701,Very High,Very High,Good
702,High,Very High,Better
703,High,Low,Better
704,High,High,Better
705,High,Medium,Better
706,Medium,Low,Better
707,High,Low,Best
708,Very High,Very High,Good
709,High,Low,Good
710,Medium,Medium,Better
711,Low,Low,Good
712,Very High,Very High,Better
713,High,Very High,Better
714,Very High,Medium,Good
715,Very High,Very High,Best
716,Very High,Very High,Better
717,Very High,Very High,Better
718,Low,High,Good
719,Very High,Medium,Better
720,Low,High,Better
721,Medium,High,Better
722,Medium,High,Better
723,High,Very High,Best
724,Very High,High,Good
725,Very High,High,Better
726,High,Very High,Best
727,High,Low,Better
728,Very High,High,Good
729,Low,Very High,Best
730,Medium,Medium,Better
731,Very High,Very High,Good
732,High,High,Better
733,Medium,Very High,Best
734,High,Medium,Good
735,High,High,Better
736,Low,High,NA
737,Very High,High,Good
738,Low,High,Bad
739,Very High,Very High,Better
740,Very High,High,Better
741,Low,Very High,Better
742,High,Low,Better
743,High,Low,Bad
744,Low,High,Better
745,High,Very High,Better
746,Low,Very High,Good
747,High,Low,Better
748,Medium,Low,Good
749,Low,Low,Better
750,High,Very High,Better
751,Very High,Very High,Good
752,Very High,Low,Better
753,Medium,Very High,Best
754,Low,Medium,Better
755,Medium,High,Better
756,Very High,Low,Better
757,Low,Medium,Best
758,Very High,Low,Better
759,Low,Medium,Best
760,Medium,Low,Best
761,Low,Very High,Good
762,High,Low,Good
763,Low,Very High,Good
764,Low,Low,Better
765,High,High,Bad
766,Low,Low,Best
767,Low,High,Best
768,Very High,High,Better
769,Very High,Very High,Good
770,Very High,Medium,Good
771,Medium,High,Good
772,High,High,Best
773,Low,Very High,Better
774,Low,Very High,Best
775,Low,Low,Best
776,High,Medium,Better
777,Medium,Low,Better
778,Very High,Medium,Better
779,Medium,Very High,Bad
780,Medium,Very High,Best
781,High,Low,Better
782,Low,High,Better
783,Very High,Medium,Better
784,Very High,Low,Better
785,High,High,Better
786,Very High,Medium,Good
787,Low,High,Good
788,High,High,Best
789,Very High,Medium,Good
790,Very High,Low,Better
791,Very High,Low,Better
792,Very High,High,Good
793,Low,Very High,Better
794,Low,High,Good
795,High,High,Good
796,Medium,High,Good
797,High,Medium,Better
798,Medium,Low,Good
799,Low,High,Best
800,Low,Medium,Bad
801,Low,Medium,Best
802,Very High,High,Better
803,Medium,Low,Good
804,Very High,Medium,Better
805,Medium,High,Good
806,High,High,Better
807,High,High,Best
808,Very High,High,Better
809,Low,Medium,Better
810,High,High,Good
811,High,Low,Good
812,Low,High,Bad
813,High,Low,Better
814,High,Low,Better
815,Very High,Medium,Better
816,High,Medium,Good
817,Very High,High,Better
818,High,Very High,Best
819,Medium,Very High,Better
820,Low,Low,Bad
821,Very High,Low,Best
822,Medium,Medium,Better
823,High,Medium,Best
824,Very High,Medium,Bad
825,Low,High,Better
826,Very High,Low,Bad
827,Very High,High,Better
828,Very High,High,Bad
829,High,Very High,Better
830,Medium,High,Better
831,High,Medium,Better
832,Low,Very High,Better
833,High,Low,Better
834,Very High,Medium,Better
835,Very High,Very High,Better
836,Very High,Very High,Bad
837,Low,Low,Best
838,Medium,High,Better
839,High,Very High,Better
840,High,Low,Better
841,Very High,Very High,Better
842,Low,Medium,Better
843,Medium,High,Better
844,Very High,Medium,Better
845,High,Very High,Good
846,High,High,Better
847,NA,High,Good
848,Low,Low,Bad
849,Medium,Low,Better
850,High,High,Better
851,Very High,Low,Better
852,High,Medium,Better
853,Low,Low,Better
854,High,Very High,Better
855,High,Medium,Better
856,Very High,Low,Good
857,High,Low,Good
858,Low,Very High,Bad
859,High,Very High,Better
860,Medium,NA,Good
861,Low,Very High,Better
862,High,Medium,NA
863,Medium,Medium,Best
864,Medium,High,Better
865,Medium,Low,Better
866,Low,High,Better
867,Very High,High,Better
868,Low,Very High,Best
869,High,High,Better
870,Very High,High,Better
871,Low,Low,Better
872,Very High,Very High,Better
873,Medium,High,Good
874,Very High,High,Good
875,Very High,Low,Better
876,Very High,Medium,Better
877,High,Very High,Good
878,Very High,Low,Bad
879,High,Medium,Better
880,Medium,High,Good
881,Medium,High,Better
882,Medium,Very High,Better
883,Medium,Very High,Good
884,Medium,Medium,Good
885,High,Low,Better
886,Low,Low,Better
887,Very High,Low,Better
888,High,High,Better
889,High,Very High,Better
890,High,Low,Good
891,Medium,Low,Better
892,Very High,Low,Better
893,Medium,Low,Better
894,Medium,Low,Good
895,High,Very High,Better
896,Medium,Very High,Best
897,Very High,High,Better
898,High,High,Better
899,Low,High,Better
900,High,High,Better
901,High,High,Good
902,Low,High,Bad
903,Very High,Very High,Better
904,Very High,High,Best
905,Very High,Low,Better
906,Medium,Medium,Bad
907,High,Very High,Good
908,Low,Very High,Better
909,High,Very High,Better
910,NA,Very High,Good
911,Low,Very High,Better
912,Medium,High,Better
913,Very High,Very High,Good
914,Low,Low,Bad
915,High,High,Better
916,Medium,Low,Better
917,Very High,High,Better
918,Very High,Medium,Better
919,Low,Medium,Better
920,Very High,Low,Better
921,High,High,Better
922,Very High,Medium,Better
923,Low,Medium,Better
924,High,High,Better
925,Very High,High,Better
926,Very High,Low,Better
927,Medium,High,Better
928,High,High,Better
929,Very High,Very High,Best
930,Very High,Very High,Best
931,Low,Medium,Good
932,Very High,Very High,Better
933,Very High,Medium,Good
934,Low,Very High,Better
935,Very High,Low,Good
936,Very High,Medium,Better
937,Medium,Medium,Better
938,High,High,Better
939,Very High,High,Better
940,Very High,Low,Better
941,High,Very High,Better
942,Low,High,Good
943,High,Very High,Better
944,Very High,High,Better
945,Very High,High,Good
946,Medium,Very High,Better
947,Very High,High,Better
948,Very High,Medium,Better
949,Very High,Very High,Better
950,Low,Medium,Better
951,Medium,Very High,Best
952,High,Very High,Best
953,Medium,Medium,Better
954,High,Very High,Good
955,Medium,Very High,Better
956,High,Very High,Better
957,High,Very High,Better
958,Low,Very High,Best
959,Very High,Very High,Better
960,High,High,Better
961,Very High,High,Better
962,Very High,High,Better
963,High,Very High,Good
964,High,High,Good
965,Very High,High,Better
966,High,High,Bad
967,Very High,High,Best
968,Very High,Medium,Better
969,Low,High,Good
970,Medium,High,Best
971,High,Medium,Better
972,Medium,Low,Better
973,Medium,Low,Best
974,High,Medium,Better
975,Very High,High,Better
976,Medium,Very High,Good
977,High,Medium,Bad
978,High,Very High,Good
979,Medium,Low,Better
980,Low,Medium,Better
981,High,Medium,Bad
982,Very High,Very High,Good
983,Very High,Very High,Better
984,Very High,High,Bad
985,Medium,Medium,Good
986,High,High,Best
987,Very High,Low,Better
988,Low,Very High,NA
989,High,Very High,Good
990,Low,High,Better
991,High,Very High,Good
992,Medium,Medium,Better
993,Very High,High,Best
994,High,Low,Better
995,Very High,Very High,Better
996,Very High,Medium,Good
997,Very High,Very High,Best
998,Low,Low,Good
999,High,Medium,Good
1000,Low,High,Better
1001,Very High,Low,Better
1002,High,High,Better
1003,Medium,Medium,Better
1004,Medium,Very High,Better
1005,High,High,Better
1006,Medium,Medium,Good
1007,High,Low,Better
1008,Very High,Medium,Good
1009,High,Low,Better
1010,Very High,High,Better
1011,Low,High,Good
1012,Medium,Very High,Better
1013,Very High,Very High,Better
1014,Medium,Medium,Better
1015,Very High,High,Better
1016,High,Low,Better
1017,Low,Very High,Better
1018,Low,High,Better
1019,Medium,Medium,Better
1020,High,Very High,Better
1021,Very High,Low,Better
1022,High,Medium,Good
1023,High,Medium,Good
1024,High,Very High,Better
1025,Very High,Low,Better
1026,High,Very High,Best
1027,High,High,Better
1028,Medium,Medium,Better
1029,High,Low,Good
1030,Medium,Low,Good
1031,Medium,Very High,Better
1032,Low,Medium,Better
1033,Very High,Low,Good
1034,Very High,Low,Bad
1035,High,Very High,Better
1036,Low,High,Good
1037,Medium,Medium,Bad
1038,High,High,Best
1039,Low,High,Better
1040,Very High,Medium,Better
1041,Very High,Medium,Best
1042,High,Very High,Better
1043,Medium,High,Better
1044,Medium,Medium,Good
1045,Medium,High,Best
1046,High,Medium,Better
1047,Medium,Low,Better
1048,Very High,Very High,Good
1049,Low,Low,Better
1050,High,Low,Better
1051,Medium,Very High,Good
1052,High,Very High,Better
1053,Low,High,Better
1054,Medium,High,Bad
1055,Very High,Low,Better
1056,Low,Low,Better
1057,High,High,Best
1058,Very High,Medium,Better
1059,Low,Very High,Better
1060,Very High,Very High,Good
1061,Very High,Very High,Best
1062,Very High,Very High,Best
1063,High,High,Good
1064,Medium,High,Better
1065,Very High,Very High,Good
1066,High,Very High,Better
1067,Very High,High,Better
1068,Very High,High,Better
1069,High,Medium,Good
1070,Low,Low,Better
1071,Medium,High,Better
1072,Very High,Medium,Better
1073,Low,High,Better
1074,Very High,Medium,Better
1075,Very High,Very High,Good
1076,High,Medium,Better
1077,Very High,Low,Good
1078,NA,Very High,Better
1079,Medium,Very High,Best
1080,Medium,Medium,Better
1081,Medium,Very High,Good
1082,Very High,Medium,Better
1083,Medium,High,Better
1084,Medium,High,Better
1085,High,Very High,Better
1086,Very High,Low,Better
1087,Very High,Low,Better
1088,Very High,Medium,Better
1089,Medium,Very High,Good
1090,Medium,Very High,Good
1091,Low,Low,Better
1092,Medium,High,Good
1093,Low,High,NA
1094,Very High,Very High,Better
1095,Medium,Low,Better
1096,Very High,Low,Better
1097,Low,Very High,Better
1098,High,Medium,Bad
1099,High,Medium,Better
1100,High,Low,Best
1101,High,Very High,Better
1102,Very High,Very High,Good
1103,Low,High,Good
1104,High,Very High,Better
1105,Medium,High,Better
1106,Medium,High,Good
1107,High,Very High,Better
1108,High,Low,Better
1109,Low,High,Better
1110,Medium,Medium,Good
1111,High,Very High,Better
1112,Very High,High,Better
1113,High,Medium,Best
1114,Very High,Low,Better
1115,Low,Low,Better
1116,Very High,Medium,Better
1117,Very High,Very High,Good
1118,Low,High,Better
1119,Medium,Very High,Best
1120,Medium,Very High,Better
1121,Medium,Very High,Better
1122,Low,Medium,Better
1123,Medium,Low,Bad
1124,High,High,Good
1125,High,Low,Best
1126,Low,Medium,Better
1127,Low,Very High,Good
1128,Very High,High,Good
1129,High,Low,Good
1130,Low,Low,Good
1131,High,Very High,Better
1132,Very High,Low,Better
1133,High,Very High,Good
1134,Low,Low,Good
1135,High,Very High,Better
1136,Very High,Very High,Better
1137,Very High,Very High,Better
1138,Low,Very High,Better
1139,Low,Low,Good
1140,Low,High,Good
1141,Very High,High,Better
1142,Low,High,Better
1143,Very High,Medium,Better
1144,High,Medium,Better
1145,Very High,Very High,Better
1146,Medium,Low,Better
1147,Very High,High,Better
1148,High,High,Best
1149,High,Low,Better
1150,Medium,High,Good
1151,Very High,Very High,Best
1152,Very High,High,Best
1153,Medium,Medium,Better
1154,High,Medium,Better
1155,Very High,Medium,Good
1156,Very High,High,Good
1157,Low,High,Better
1158,Medium,High,Good
1159,Very High,Medium,Better
1160,Low,High,Better
1161,Low,High,Better
1162,Very High,Low,Good
1163,Very High,Very High,Better
1164,High,Medium,Bad
1165,Very High,High,Better
1166,Very High,High,Best
1167,Medium,High,Better
1168,Medium,Very High,Better
1169,High,Medium,Better
1170,Low,Very High,Good
1171,Medium,Medium,Better
1172,Low,Very High,Better
1173,Medium,High,Better
1174,High,Very High,Better
1175,High,Very High,Better
1176,Low,High,Good
1177,Low,Very High,Good
1178,Medium,Very High,Better
1179,High,Low,Better
1180,Very High,Very High,Good
1181,Very High,Low,Good
1182,Low,Very High,Better
1183,Very High,Medium,Better
1184,High,High,Good
1185,Low,Very High,Best
1186,Low,High,Good
1187,Very High,High,Bad
1188,Low,Medium,Better
1189,Very High,High,Better
1190,Very High,Very High,Good
1191,High,Medium,Better
1192,Very High,Low,Better
1193,High,Very High,Better
1194,Low,Very High,Better
1195,Medium,High,Better
1196,Medium,NA,Good
1197,Very High,High,Better
1198,High,High,NA
